ID,Class,PC1,PC2,PC3,PC4,PC5
252,Low,0.612257,-0.052125,0.777893,-0.130135,0.984301
253,Low,1.074563,0.233496,0.299674,0.391670,-1.377526
254,Medium,0.289693,1.205312,1.088438,0.975835,-0.748684
255,Medium,0.896995,0.295664,0.862226,0.046288,1.254128
256,High,-2.719498,1.002973,1.147967,1.204491,1.374364
257,Low,0.281288,-0.714860,-0.211287,0.125704,-1.260676
258,Low,0.564975,-0.396395,-0.851227,0.160349,-0.137905
259,Medium,-0.239332,0.757819,0.336384,1.457665,0.566578
260,Low,0.533980,-0.204613,-0.480161,-1.161485,-1.544050
261,Medium,-0.001875,0.756646,0.171686,1.234872,0.238045
262,Medium,0.789824,0.680403,0.814603,0.881494,1.616530
263,Medium,0.116854,0.259888,-0.193428,-0.304958,1.681447
264,High,-1.103003,1.106195,1.125148,1.251395,0.558676
265,Medium,0.819244,0.765444,0.960450,0.894819,-0.079198
266,Low,1.007318,-0.375281,0.521917,-0.177571,-0.794407
267,Low,-0.346503,-0.396982,-0.369039,-0.791584,-0.137905
268,Low,0.042255,-2.098392,-0.457341,-0.518690,-0.888113
269,Medium,0.849188,0.603572,0.738207,0.152887,1.133327
270,Medium,0.925364,-0.732455,-1.783854,-0.391303,0.135872
271,Low,1.067733,-0.620435,0.279831,0.346898,-1.741622
272,Low,0.344855,-0.419855,-2.146983,-1.755777,-0.968835
273,Low,0.541335,-0.008724,0.323486,-0.068840,1.185260
274,High,-1.284248,1.304429,0.954497,1.125607,1.054862
275,Medium,0.878083,0.984205,1.205512,1.058983,-0.194354
276,Low,-0.161580,-1.059130,-0.334314,0.044689,-0.884161
277,High,-2.904945,1.275105,0.904889,1.256725,1.205017
278,Low,0.059591,-0.893153,0.428654,0.289334,-1.779443
279,Low,-0.345977,-0.571169,-1.903905,-1.939128,-0.622802
280,Medium,-0.023414,0.657529,1.382116,0.963576,0.577868
281,Low,0.574957,-0.317805,-0.310502,-0.730823,1.700639
282,Low,-0.001875,0.049925,0.583430,-0.109881,-0.489018
283,Low,0.390560,-1.688435,0.478262,-0.098155,-1.336318
284,Medium,-1.596830,1.058103,0.916795,1.137333,0.835840
285,Medium,-0.377498,0.758992,0.595336,0.562762,0.789552
286,Low,-0.254567,-3.096014,-1.158796,-1.160419,-0.137905
287,Low,0.355362,-1.045054,-1.301666,-0.707904,-0.914079
288,Medium,-1.644636,0.368976,1.005097,1.142130,0.300139
289,Low,-0.101165,-0.123677,-1.722340,-1.548441,0.952690
290,Medium,0.359565,1.076284,1.346398,1.025404,0.295623
291,High,-3.107204,0.887434,1.179716,1.387309,1.004058
292,Medium,-0.347553,-0.385252,0.215341,-0.249526,1.671850
293,Medium,0.950581,0.996521,1.159873,0.934794,0.096358
294,High,-1.676683,0.905615,1.113242,1.191166,1.328076
295,Medium,-0.259295,0.785385,0.463380,1.369187,1.116392
296,High,0.242412,0.875118,0.937630,0.371949,1.389041
297,Low,-0.053884,-2.142966,-1.085376,-1.831462,-0.587239
298,Low,0.118955,-1.739460,-0.909764,-1.498339,-0.238385
299,Low,0.934820,0.165463,-1.758058,-2.206159,-0.934401
300,Low,-0.312880,-0.026906,-1.103235,-1.007448,1.316786
301,Low,-0.483093,-1.364692,-0.431545,-0.688183,-0.212982
302,Low,-0.730006,-3.151730,-1.070494,-1.116180,-0.538129
303,Medium,0.364293,0.699170,0.558627,0.540376,0.686815
304,Medium,0.211417,0.806498,0.347297,0.671493,0.097487
305,Low,0.502459,-0.141858,-0.625016,-1.455166,0.448600
306,Medium,-0.369093,-0.918959,-1.640983,-1.948722,-0.265480
307,Low,0.520321,0.811190,-1.758058,0.122506,0.558676
308,Low,0.652709,-2.029186,-1.053627,-1.036230,-1.072137
309,Medium,0.534505,0.855763,0.741183,0.837789,1.373235
310,Low,-0.773610,-0.484955,-1.427670,-2.059052,-0.231046
311,Low,0.110550,-0.921305,-0.325384,-1.282475,-0.717072
312,Medium,0.961613,1.025846,0.913818,0.853779,-0.270560
313,Medium,-0.002400,1.054584,0.821548,0.923068,0.451422
314,Low,0.567602,-0.083209,0.013933,0.348497,0.006604
315,Low,0.188827,-1.511901,-1.545736,-1.372019,0.717862
316,High,-3.023674,1.278624,1.096375,1.199694,0.925030
317,Low,0.637473,0.051098,0.434607,0.223776,-1.737106
318,Low,0.485648,-4.267237,-1.606258,-1.724863,-1.673883
319,Medium,-0.001875,-0.111360,0.814603,0.403396,0.532145
320,Medium,0.692110,1.022913,-0.170608,0.669362,-0.347331
321,Low,0.335399,0.309740,0.701497,0.736519,-2.631258
322,Low,-0.235654,-1.428033,-0.846266,-1.733391,-0.087101
323,Low,0.595971,0.444633,0.182599,-0.099221,-1.212695
324,Low,-0.045478,-1.284343,-1.136968,-1.481283,-0.317413
325,Low,0.535556,0.717352,0.212364,-0.209551,0.954948
326,Low,0.126836,-3.148798,-1.246105,-1.223845,-0.527968
327,Medium,-0.001875,0.569556,0.505050,-0.010743,-0.979560
328,Low,0.615409,-1.004586,0.843375,0.254157,-0.532484
